Plate,Customer_meaning,Reviewer_comments
GUN4HYR,A CONSTRUCTION WORKER THAT FOLLOWS THE MONEY AND JUMPS FROM COMPANY TO COMPANY,GUN FOR HIRE
LCPSY18,FIST AND LAST INITIAL OF NAME. PSYCHOLOGY PROFESSOR,18-HITLER
LILBLKB,LITTLE BLACK BEE,LIL BLACK BITCH? LAST NAME IS BLACK
LYFISHT,LIFE IS SHORT,LIFE IS SHIT
MZ MOLY,THIS IS MY CARS NAME. SHE IS A 38 YEAR OLD STRAWBERRY BLONDE GIRL. MOLY,MOLLY…. ECSTASY
NAVA 14,NAME BIRTHDAY,14-HITLER
OG PLAY,CHILDHOOD NICKNAME,OG
OG RICE,OLD GUARD RICE,OG
OPNWIDE,REFERS TO MY PROFESSIONAL LINE OF WORK AS A DENTIST,SEXUAL? OPEN LEGS, OPEN MOUTH?
OR DX,OREGON DUCKS,OR DICKS
OVOGANG,AN ATRISTS MOTO. HE REFERS TO HIS FANS AS GANG MEANING FAMILY,GANG
RAJO42O,NAME MONTH DAY CAME TO AMERICA,420-WEED
RJ X 88,MY ENGLISH FIRST NAME AND YEAR OF BIRTH,88-HITLER
RMBO562,RAMBO IS MY NICKNAME FROM WHEN IW AS A CHILD. EVERYONE KNOWS ME AS RAMBO. 562 IS MY AREA CODE FROM LONG BEACH,562 CUSTOMERS AREA CODE
ROAK14,FIST INITIAL FOR FAMILY MEMBERS,14-HITLER
RSPEC13,CAR MODEL AND YEAR,13-GANG
UBRS 51O,UBER IS MY INTERNET LOG ON AND 510 IS THE MODEL OF MY CAR,510 CA AREA CODE
VTARDED,CADILLAC MODEL CTS-V. VERY FAST,TARDED… RETARDED?
YBEAZZY,NICKNAME,BEEZY. BITCH
YR ONE69,YEAR OF MY 1969 CAMARO,COULDN'T VERIFY 1969
1LOWPIG,"THIS LICENSE PLATE WILL BE PLACED ON A DAILY DRIVEN SHOW TRUCK NAMED ""THE RED PIG"" USED FOR SHOW COVERAGE AND MAGAZINE PURPOSES",PIG
2BUCK U,I WENT TO SAN JOSE STATE. MY SON DID NOT WANT TO GO TO A STATE SCHOOL. HE WENT TO TCU. HE CALLED MY COLLEGE TWO BUCK U.,TO FUCK YOU? BUCK YOU-HIT YOU?
619 BSBL,619 IS THE AREA CODE OF SAN DIEGO, AND BSBL STANDS FOR BASEBALL. THIS PLATE IS REPRESENTING THE SAN DIEGO PADRES, A PRO BASEBALL TEAM.,619 CA AREA CODE
69TRIKE,1969 TRICYCLE,COULDN'T VERIFY 1969
13$GRAM,13 GRANDCHILDREN LOVE THEIR GRANDMA,13-GANG
GIGGEDY,FAMILY GUY, QUAGMIRE ALWAYS SAYS GIGGITY GUE,INNUENDO
H84BY4Z,I HATE 4X4 VEHICLES. SATIRE, AS I WILL BE PUTTING THIS PLATE ON A 4 WHEEL DRIVE TRUCK,HATE
MRDRVAN,MISTER DOCTOR VAN,MURDER VAN
TOPNUGS,TOP NUGS. TOP BRAINS. MY TWIN DAUGHTERS ARE TOP STUDENTS IN THEIR CLASS.,NUGS-WEED
U 2 HIGH,MY CAR IS LOWERED SO OTHER PEOPLES CARS ARE WAY HIGHER THAN MINE,ON DRUGS?
2BG NUGZ,TWO BIG NUGS. TWO BIG BRAINS. MY TWIN DAUGHTERS BOTH SKIPPED 8TH GRADE.,NUGS-WEED
BBONGCO,NO MICRO,BONG IS SOMETHING YOU SMOKE MARIJUANA IN
F1OO183,NO MICRO,OLD PLACARD NUMBER
RBN 88,NO MICRO,88-HITLER RELATED
REDLYNE,NO MICRO,RED GANG COLOR
14 FLEX,NO MICRO,14-HITLER RELATED. NO 2014
69CRZIN,NO MICRO,NO 69 CAR
IH8IED,NO MICRO,HATE-? IED-IMPROVISED EXPLOSIVE DEVICE. VET PLATE
CRPLHLR,NO MICRO,CRIPPLE HEALER?
CRPPL4X,NO MICRO,CRIPPLE? SAME GUY AS ABOVE
FISH HRD,NO MICRO,HARD?
A QUIKI,A FAST MINI COOPER,A QUICKY, SEX
BTCNBLK,NICKNAME FOR CAR,BITCHIN BLACK
GAZ1969,NO MICRO,NO 1969 VEHICLE
HAWT DAM,NO MICRO,HOT DAMN
LDYNBLU,NO MICRO,LADY IN BLUE. GANG COLORS?
MH8SH18,INITIALS OFM ICHELLE AND SYDNEY AND THEIR FAVORITE NUMBERS,18-HITLER
STFUDNY,STOP FEAR UNCERTAINTY AND DOUBT IN THE NEW YEAR,SHUT THE FUCK UP
TINAS 7O,NAME IS TINA. GOING ON A 197O BRONCO,COULDN'T VERIFY TINA OR A 1970 VEHICLE
WUSUP B,WHATS UP BRIAN,WHATS UP BITCH. CUSTOMER IS BRIAN
HILDA14,NO MICRO,14-HITLER
FAT NUT,FAT NUT,LARGE EJACULATION
BITZPLZ,BITE'S PLEASE, BECAUSE I LOVE TO EAT ALL DIFFERENT KINDS OF FOOD AND TRY NEW THINGS.,BITCH PLEASE
CLNASFK,CLEAN AS FREAK,CLEAN AS FUCK
HUNTMOM,I AM HUNTER'S MOTHER,HUNT MOM. HUNTER'S MOM?
NOTARY G,NO MICRO,G
WHS 18,WALNUT HIGH CLASS OF 2018,18-HITLER
WTF BYE,BYE BYE BRO,WHAT THE FUCK.
FUMONEY,FUN MONEY,FUCK YOU MONEY
BUTCH B,,LOOKS LIKE BUTCH BITCH
D JERK,MY WIFE CALLS ME THAT ITS MY NICK NAME,LOOKS LIKE DA JERK
FUNKLFE,A TYPE OF MUSIC THAT ONE HAS GROWN UP WITH AND STILL FOLLOWS,LOOKS LIKE FUCK LIFE
GABECAT,GABRIEL CATHY,NO VEHICLE SHOWN IN ANI FOR HELLCAT, OR JAG ETC
HEMICYD,,LOOKS LIKE HOMICIDE
HIGHBOI,,LOOKS LIKE HIGH AS IN ON DRUGS
LH 562,,562 AREA CODE
LUV VAN,,LOVE  VAN CAN BE A VAN USED FOR SEX
N5A1BOT,VIDEO GAME REFERENCE,510 AREA CODE
OG HCAT,ORIGINAL HELLCAT,OG AS IN ORIGINAL GANGSTER
OTLAW 1,OUTLAW 1,OUTLAW AS IN GANGSTER
OUTHOUS,OUT HOUSE - FOR RV,AN OUT HOUSE IS USED FOR USING THE RESTROOM
SAABNUT,CRAZZY ABOUT SAAB BRAND CARS,SAAB NUT.. SAAB IS A CAR NUT CAN BE SEXUAL OR CAN MEAN CRAZY
SIX5O,650 BMW,650 AREA CODE
SIX6XI,,666 MARK OF THE BEAST THE DEVIL EVIL
STR8 KLS,,STRAIGHT KILLS
SUPR POO,,SUPER POO
XO1OHO,NO MEANING,HO LOOKS LIKE HOE
1DOPE S5,ITS A COOL AUDI S5,DOPE COULD MEAN NICE OR BE A DRUG REFERENCE
4O8RD8R,THE LICENSE PLATE SIGNIFIES MY HOMETOWN SAN JOSE AND MY FAVORITE NFL TEAM THE RAIDERS.,408 RAIDER
5HUNWYS,500 WAYS,500 HUNDRED WAYS
6 X TREE,,LOOKS LIKE 6 X3=18 = HITLER REFERENCE OR 666 MARK OF THE BEAST
7O7 PLUS,707 HORSEPOWER PLUS A LITTLE MORE,707 AREA CODE
8 USC 8,UNIVERSITY OF SOUTHERN CALIFORNIA,88 HITLER REFERENCE
GAYMUR,AM A GAY MAN WHO LOVES PLAYING VIDEO GAMES (GAY GAYMER),LOOKS LIKE HE IS SAYING GAMER BUT HE IS USING GAY.. COULD BE TAKEN OFFENSIVLY
MF$TGAR,PLATE HOLDER'S INITIALS AND THE ACRONYM FOR TWO GIRLS ANIMAL RESCUE (WHICH SHE IS CO-FOUNDER),MF LOOKS LIKE MOTHER FUCKER
$R TOES,LOVE HER TOES,LOVE HER TOES
14$ETTA,,14 GANG REFERENCE NO 2014 ON RECORD
HDST76O,HIGH DESERT 760,760 AREA CODE
H8TZRS,HATE TEASERS,H8 LOOKS LIKE HATE
PLBY73,PLAYBOY EMPLOYEE HIRED IN 1973,"PLAYBOY… PLAYBOY IS A SEX MAGAZINE HOWEVER THE ""PLAYBOY"" HAS A RETENTION RECORD"
BUNTA F,"SHORT FOR ""BUNTA FUJIWARA"" A FICTIONAL CHARACTER",ANAL RAPE PER URBAN DICTIONARY
G DOG,NICK NAME,G AS IN GANGSTER
IYAOYAS,IF YOU AIN'T ORDNANCE, YOU AIN'T SPECIAL. (IT'S A USMC ACRONYM.),IF YOU AINT ORDINANCE YOU AINT SHIT.. A MILITARY TERM
KISNKUZ,KISSING BECAUSE,KISSING COUSINS
LJEFFE,NICKNAME FOR VEHICLE,EL JEFE THE BOSS
OG SWAG,ORIGINAL STYLE,ORIGINAL GANGSTER SWAG
PULLN 14,,14 CUSTOMER DOES HAVE A 2014 GMC
REDROCK,THE COLOR OF THE CAR,RED
SHAFFED,"MY LAST NAME AND I LIKE TO DO MY OWN CAR WORK AND WORK ON OTHERS CARS ""YOU GOT SHAFFED""",CUSTOMER LAST NAME IS SHAFFER, BUT SHAFT IS ANOTHER WORD FOR PENIS
SHZAKLA,SHEZAKILLA,SHE'S A KILLA
UHL CURSE,,YOULL CURSE
2 BLUE IZ,TO BLUE EYES,BLUE
OG RIDE,OLD GUY MOTERCYCLE,ORIGINAL GANGSTER RIDE
AKK47,MY INITIALS PLUS MY TWO LUCKY NUMBERS, WHICH HAPPEN TO SOUND LIKE A NICE GUN I LIKE.,LOOKS LIKE AK 47 AS IN GUN
AO2M96,,LOOKS LIKE OLD AUTO
BGD W211,AIRMATIC AND MERCEDES BENZ MODEL NUMBER,211 AS IN ROBBERY
BJ GRND,NAME OF COMPANY - BJ GRINDING INC,BJ GRIND.  BLOW JOB GRIND IS A SEXUAL REFERENCE
DGAFLOL,I WORK WITH DEGAFFREY'S LAW ASSOCIATE,DON’T GIVA A FUCK LAUGH OUT LOUD
DGAF247,ITS MINE AND MY HUSBANDS INITIALS AND THE DATE WE WERE MARRIED. ITS VERY SENTIMENTAL TO US.,DON’T GIVE A FUCK 24/7
GMS 14,BUSINESS NAME,14 GANG REFERENCE
GRWN DED,,DEAD
JESSBOX,NICKNAME,BOX
KAT KOCH,NAME OF A PERSON NAME = KAT (KATHARINA) LAST NAME = KOCH,CAT COACH
LARA 8O5,,805 AREA CODE
LIL515O,JUST A LITTLE WILD AND FUN PERSON,5150 CRAZY
MOCHOMO,ANT SPECIES,"MEXICAN DRUG LORD ""THE DESSERT ANT"""
MY7OCUT,MY 1970 CUTLASS,CUT COULD MEAN CUTLASS OR CUT IS A SEXUAL REFERENCE
NECIA 88,IT MEANS STUBBORN AND THE YEAR I WAS BORN,88 HITLER REFERENCE
OFFCR HI,GIVING A FRIENDLY GESTURE, NOTHING BAD,HI OFFICER
OLD BS,THE TRUCK IS THE LAST YEAR OF THE OLD BODY STYLE FORDS.,BS BULL SHIT
POOPELL,THIS IS A NICKNAME THAT MY LATE GRANDFATHER USED TO CALL ME. IT HAS GREAT PERSONAL MEANING TO ME.,POOP
PZA TACO,MY TWO FAVORITE THINGS PIZZA AND TACOS,TACO
RICH KAT,RICH AND KAT,RICH CAT.. EXPENSIVE CAT
SHUFTSH,SHOE FETISH,SHOE FETISH
TERCA88,IT MEANS STUBBORN AND THE YEAR I WAS BORN,88 HITLER REFERENCE
THUGLYG,,THE UGLY F.. NOT SURE WHAT THE F MEANS
WOR HORS,,WAR WHORES.. WORK HORSE
WSIXVTY,,LOOKS LIKE 650 AREA CODE
YYMAN 69,XXX,MAN 69
ZEROFCK,IM A 9 GAGGER AND A ENTHUSIAST OF CARS. I CAN SAY CARS ARE PRETTY MUCH MY LIFE RIGHT NOW.,O FUCKS
13 N144E,COORDINATES OF MY BIRTHPLACE (GUAM),13 GANG REFERENCE
3KS N 1E,,3KS LOOKS LIKE KKK
8 BZI 8,MY NAME,88 HITLER REFERENCE
8DIAZ13,DIAZ IS MY LAST NAME AND THE NUMBERS ARE THE BIRTH DATES OF MY KIDS,13 GANG REFERENCE
88JOY88,8 IS ONE OF MY FAVORITE/LUCKY NUMBERS AND JOY IS MY NAME,HITLER REFERENCE
STOGIE,JUST HAD A CIGAR.,STOGIE IS A CIGAR
AIRS$FT,AIRSOFT SPORT WE LOVE,AIRSOFT SHOOTING
I$MYAR,I LOVE MY ALPHA RAMEO,I LOVE MY AR AR RIFLE
VAGIN$R,"MY FAVORITE DRINK IS BOWMAN'S VIRGINIA GIN (VA) FOR VIRGINIA AND GIN FOR GIN, SO THIS PLATE WOULD BE READ ""VIRGINIA GIN LOVER""",VAGINA LOVER
3&14 PI,THE FIRST 3 DIGITS OF PI,PIE 14 GANG REFERENCE
HYDR,HYDRO,HYDR HYDRAULICS OR HYDROPONICS
RMPSSI,COMPANY NAME,PSSI LOOKS LIKE PUSSY
AHHBLUE,BLUE WAS THE NICKNAME GIVEN TO ME BY MY FATHER GROWING UP,BLUE
BENDEJO,SPANGLISH SLANG FOR VILLAGE IDIOT,PENDEJO CURESE WORD IN SPANISH
BYTE ME2,BYTE ME TWO, MATCHING SPOUSE'S PLATES,BITE ME TOO
COJONIS,IT MEANS COURAGE,THIS LOOKS LIKE THE SPANISH WORK COJONES
EXCON,XCON,EX CON
GTSGTFO,GLOBAL TECHNOLOGY SOLUTIONS GROUP FINANCE OFFICER,GTFO GET THE FUCK  OUT
ISISCAR,,ISIS CAR
PSI DOC,PRO SPORTS INSTITUTE DOCTOR,PUSSY DOCTOR
S14 97,,14 GANG REFERENCE
TN7,NAME OF OUR RANCH 10-7,LOOKS LIKE TNT
URDUNN4,LAST NAME IS DUN AND WE ARE A FAMILY OF FOUR,YOURE DONE FOR
3100 BLK,3100 BLOCK,3100 BLOCK
BLUSHRK,BLUE HARLEY,BLUE
GOFUKIT,FOR MOTORCYCLE,GO FUCK IT
CHRG4PS,CHARGE FOR PEACE,LOOKS LIKE CHARGE FOR PS… NOT SURE WHAT PS MEANS
BLK88BZ,NICKNAME AND BIRTH YEAR,88-HITLER. BIRTH YEAR VERIFIED AS '88
BUIOO13,NO MEANING,13-GANG
ENOX 13,MY NAME AND UNION NUMBER,13-GANG
HRSHT66,NO MICRO,HER SHIT '66
IBD88,MY INITIALS AND LUCKY YEAR,88-HITLER. INITIALS VERIFIED
KB 88 RV,NO MICRO,88-HITLER
M 65O V,NO MICRO,CUSTOMERS MOUNTAIN VIEW AREA CODE
PDCC42O,NO MICRO,420- WEED
87O,HISTORIC DATE,A TYPE OF REMINGTON GUN
BDAZTKR,ONE GREAT TRUCK DRIVER,BADASS TRUCKER
HLNAUSS,IM HAULING AUSS (AN AUSTRALIAN SHEPHERD- MY DOG'S BREED),HAULIN ASS
S14 BLK,NO MICRO,14-HITLER
88 CAB,1988 PORSCHE CABRIOLET,88-HITLER. HAS AN '88 PORSCHE
AENIMA,THE ROCK BAND TOOL'S SECOND ALBUM TITLE  FROM 1996,CUSTOMER MEANING IS TRUE BUT LOOKS AND SOUNDS LIKE ENEMA
ALDRG59,ALLDREDGE 1959,ALL DRUG (CUSTOMER LAST NAME IS ALLDREDGE)
AMFZB24,IT'S MY NAME, JASON, ENCODED TO BASE64. I JUST WANT THE BLACK AND YELLOW PLATE SO THAT'S WHAT I CAME UP WITH.,AMF=ADIOS MOTHERFUCKER
BADBASS,NICK NAME,BASS OR ASS
BAD MTF,CLASSIC CAR,BAD MOTHERFUCKER, HAS A 57 CHEVY
BEAR4SS,ANIMAL AND CAR MODEL,BEAR OR BARE ASS, DOES HAVE A 2010  CHEVY
BIG D XB,BIG DENNIS/ BIG DADDY SCION XB,BIG D=BIG DICK, CUSTOMER NAME IS DENNIS
BJS4DDS,MY INITIALS AND MY WIFE INITIALS,BLOW JOBS FOR DENTAL WORK… CUSTOMER IS BRIAN J SAMUELS
BLKKTZE,IT'S A BUSINESS NAME,BLACK CATS? PULLED FOR CAT=PUSSY
BLU PNY,BLUE PONY,BLUE=GANG COLOR. HAS 2016 FORD
BMFN42O,BEST MUSTANG FORD 420 HORSE POWER,MOTHERFUCKING 420, HAS 2014 FORD
BONE BZ,ORTHOPEDIC SURGERY,BONE=SEX
BROK3 AF,BROTHERK3 ARTIC FOX, ITS MY XBOX GAMERTAG AND USERNAME,BROKE AS FUCK
CABIN 5O,OUR CABIN NUMBER FOR OUR HOUSE AT HUME  LAKE.,50=police
CAULGUY,PERSON IS BORN WITH A CAUL OR A VEIL. FACE IS COVERED BY PART OF WOMB.IT IS CONSIDERED GOOD LUCK OR VERY SPRITUAL.,CUSTOMER MEANING IS TRUE BUT SOUNDS LIKE 'CALL GUY'… CALL GIRL WOULD BE A PROSTITIUTE
CDA14,FIRST INITIAL OF MY SON MYSELF AND MY SON  AND  BIRTHDAY OF MY HUSBAND,HAS 2014 CHEVY, 14 CAN BE HATE SYMBOL
CHIHOE,THIS IS MY LEGAL FIRST NAME,PULLED FOR HOE, THIS IS HIS REAL FIRST NAME
CICARIO,5XPP825,SICARIO MEANS HITMAN OR HIRED KILLER IN SPANISH
CLD SQD,"MY WIFE'S TV SHOW IS ""COLD SQUAD""",COLD SQUAD IS A POLICE TV SHOW
CPSLO 13,CAL POLY SAN LUIS OBISPO, GRADUATION 2013,13 CAN BE A GANG NUMBER, NO 2013 CAR
DAYGO13,SAN DIEGO 13 LUCKY NUMBER,DAGO=SLUR AGAINST ITALIANS, 13=GANG NUMBER, NO 2013 CAR
DRG DADY,I LOVE DRAG RACING EVENTS. AND I AM A DAD.,DRUG DADDY
DRTY SXO,TRUCKS ALWAYS DIRTY AND IS A 6 LITER ENGINE,DIRTY SEX (SEXO=SEX IN SPANISH)
DSCHBAG,DSCH IS A BRAND OF BAG OF GERMAN  (DEUTSCHE)  BAGS THAT I LOVE.,DOUCHEBAG
EAT CHIA,I AM DOING A RESEARCH ON CHIA SEEDS SO I  WANT TO PROMOTE IT,EAT
EVOWEVO,MEXICAN EGG,WEVO=HUEVO, CAN MEAN EGG OR TESTICLE
FATAL41,THE COMPANY I WORK FOR IN THE USMC IS FOX COMPANY AND WE CALL OUR SELFS FATAL FOX,FATAL IS SOMETHING THAT KILLS YOU
FATTO 1,IT IS THE NAME OF A GIRL IN A PUNJABI SONG   THAT  IS DESCRIBED AS SASSY.,IT IS A SONG. COULD BE INSULTING IN ENGLISH
FATTO 2,FATTO IS THE NAME OF A SASSY GIRL IN A   PUNJABI  SONG,IT IS A SONG. COULD BE INSULTING IN ENGLISH
FED S 69,ABBREVIATION OF OUR NAME, FEDER.,no 69 car on ani
FNVADER,"""FUN VADER"" THIS IS MY TOY TRUCK, AND IT'S ALL BLACK AND LOOKS LIKE DARTH VADER",EFFIN VADER
FRD EETR,I DON'T LIKE FORD TRUCKS,EAT
F TESLA,TESLAS R TOO ESPENSIVE,FUCK TESLA
FTG GCG,INITIALS IN MEMORY OF MY GRANDPARENTS  FRANCIS THOMAS GRAY AND GRACY CAITLYN   GRAY,FTG=FUCK THE GUARD (COASTGUARD) OR GOVERNMENT…
FUQYOU1,SENTIMENTAL REASONS,FUCK YOU
GASPASR,I AM A NURSE ANESTHETIST,GAS PASSER, SHE PASSES GAS (FARTS)
GD 818,G-DRAGON'S INITIALS WITH HIS BIRTHDAY. HE IS A KOREAN SINGER AND HE IS MY IDOL,818=LOS ANGELES AREA CODE
GETATME,PICK UP LINE FROM THE 2010'S,GET AT ME, SEXUAL?
GOBALLA,MY LAST NAME IS BALLA,GO BALLER, CUSTOMER LAST NAME IS BALLA
GO G MEN,GO GIANTS, G-MEN IS A NICKNAME FOR THE SAN FRANCISCO  GIANTS,G-MAN SHORT FOR GOVERNMENT MAN, MEANS AN FBI OR CIA AGENT
GSGOMG,KIDS INITIALS,GSG=GUNSLINGER GIRL (ANIME) PER ACRONYM FINDER.
GTUMBLR,G WAGON TUMBLER- LIKE FROM BATMAN,pulled for g (gangster) ani does show a MBZ 2016 could be a G Class
GUN ACE,MY CHILDREN'S NAMES: GUNTHER AND ACE,gun
GURUJP,GURUJEEP IS MY JEEP'S NAME.,JAP? NO JEEP ON ANI, HAS HONDA
HALF333,BABY EVIL,333 IS HALF OF 666
HALF666,BABY DEMON,PULLED FOR REVIEW OF 666 (SAME CUSTOMER AS HALF333)
HAMMER H,NICKNAME,HAMMER=PENIS
HAMMERS,HAMMER HAS BEEN MY NICKNAME SINCE I WAS 3 YEARS OLD AND I AM SAYING THAT THE TRUCK IS MINE THROUGH THAT NICKNAME,HAMMER=PENIS
HELGRRR,THE NAME OF THE CAR,pulled for Hell, no Hellcat. Has a VW
HJ 4G,4 GIRLS,G=GANGSTER
JCSTACO,JUAN CARLOS TACOMA,has a toyota truck on ani, pulled for taco=pussy
JEFITA,MOM,we pull jefe=chief, gang boss. Jefita=little woman chief. Could be slang for mom per urban dictionary
KATITUD,ATTITUDE, CATTITUDE. WILL BE ON A JAGUAR.,NO JAGUAR ON ANI, CAT=PUSSY
KUCH,NICK NAME FOR LAST NAME KUCERA,SOUNDS LIKE 'COOCH' WHICH IS SLANG FOR VAGINA
LIT FAM,SLOGAN, MEANING ITS COOL, FRIENDS,LIT CAN MEAN HIGH OR VERY INTOXICATED
LMTHANG,LITTLE MOTOR THING,LMT=LICK MY TAINT, LICK MY TWAT.(or Thing) URBAN DICTIONARY (52 UP, 18 UP) Ani shows a BMW UT and a Subaru SW
LOW WIRE,I WORK AS A HI VOLTAGE LINEMAN AND MY CAR IS LOWERED ITS A PLAY ON WORDS,wire=amphetamines
LUV CBDS,I LOVE CLEO,BEATRIZ,DANNETTE AND STEPHANIE,CBD=CANNABIDIOL, A COMPOUND OF MARIJUANA LIKE THC.
MAASSSV,MASSIVE, ALSO THE INITIALS OF MY FAMILY AND CLOSE FRIENDS,MASSIVE, COULD HAVE SEXUAL CONNOTATIONS… HAS A 2 DOOR 2015 DODGE
MACHN 22,MEAN MACHINE FROM THE MOVIE THE LONGEST YARD,COULD MEAN A .22 MACHINE GUN
MACTEP,NICKNAME,MACTEP=RUSSIAN WORD FOR MASTER, DEFINITION ON URBAN DICTIONARY SOUNDS LIKE S&M TYPE MASTER
MEVALE8,ME IS BASICALLY ME, VALE IS SHORT FOR VALEDICTION WHICH MEANS TO DEPART-FAREWELL. THE 8 REPRESENTS INFINITY,urban dictionary says 'me vale' means I don’t give a fuck. Google translates it as I do not care…
MGADETH,MY FAVORITE MUSICAL ARTIST,pulled for death but almost didn’t, it is a band
M KILER,MY MERCEDES AMG IS BETTER THAN BMW M  VARIANTS.,KILLER
MRDA RAM,BLACK COLORED DODGE RAM,murder ram
MTL HMR,I WRITE FOR A MUSIC MAGAZINE CALLED METAL HAMMER.,"THERE IS A MUSIC MAGAZINE CALLED ""METAL HAMMER"". I SAW A SEXUAL CONNOTATION. NO HUMMER ON ANI, HAMMER CAN MEAN PENIS"
MWAVEEY,NICKNAME,URBAN DICTIONARY SAYS 'WAVEY' MEANS VERY DRUNK OR HIGH, OPPOSITE OF SOBER. 456 UP 194 DOWN
M8H8S,MY INITIALS ARE MHS AND MY YEAR OF BIRTH IS 1988,hate
NAVY FED,"""NO MEANING ATTACHED""",FED=A FEDERAL AGENT OR OFFICAL, ESPECIALLY A MEMBER OF THE FBI. OR THE POLICE.
